"Comment","Designator","Footprint","LCSC Part #"
"220n","C201,C301,C401,C501,C601,C701,C801,C901","C_0603_1608Metric","C21120"
"I2C_1","J101","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C160404"
"I2C_0","J102","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","C160404"
"1k","R201,R301,R401,R501,R601,R701,R801,R901","R_0603_1608Metric","C21190"
"10k","RV201,RV301,RV401,RV501,RV601,RV701,RV801,RV901","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical","C265082"
"RotaryEncoder_Switch","SW101","JST_PH_B5B-PH-SM4-TB_1x05-1MP_P2.00mm_Vertical","C265086"
"SW_0","SW102,SW103,SW104","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical","C265003"
"PRGM","SW105","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical","C265003"
